Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Product Brand,Product Name,Shipping Time
13,"CA-2018-114412",2018-04-15 00:00:00.000,2018-04-20 00:00:00.000,"Standard Class","AA-10480","Andrew Allen","Consumer","United States","Concord","North Carolina","28027","South","OFF-PA-10002365","Office Supplies","Paper",15.552,"Xerox","Xerox",5
57,"CA-2017-111682",2017-06-17 00:00:00.000,2017-06-18 00:00:00.000,"First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York","12180","East","OFF-PA-10001569","Office Supplies","Paper",32.4,"Xerox","Xerox",1
65,"CA-2016-135545",2016-11-24 00:00:00.000,2016-11-30 00:00:00.000,"Standard Class","KM-16720","Kunst Miller","Consumer","United States","Los Angeles","California","90004","West","OFF-PA-10003892","Office Supplies","Paper",146.73,"Xerox","Xerox",6
92,"CA-2017-109806",2017-09-17 00:00:00.000,2017-09-22 00:00:00.000,"Standard Class","JS-15685","Jim Sink","Corporate","United States","Los Angeles","California","90036","West","OFF-PA-10000304","Office Supplies","Paper",6.48,"Xerox","Xerox",5
93,"CA-2016-149587",2016-01-31 00:00:00.000,2016-02-05 00:00:00.000,"Second Class","KB-16315","Karl Braun","Consumer","United States","Minneapolis","Minnesota","55407","Central","OFF-PA-10003177","Office Supplies","Paper",12.96,"Xerox","Xerox",5
116,"CA-2015-115259",2015-08-25 00:00:00.000,2015-08-27 00:00:00.000,"Second Class","RC-19960","Ryan Crowe","Consumer","United States","Columbus","Ohio","43229","East","OFF-PA-10004965","Office Supplies","Paper",23.976,"Xerox","Xerox",2
132,"US-2018-164147",2018-02-02 00:00:00.000,2018-02-05 00:00:00.000,"First Class","DW-13585","Dorothy Wardle","Corporate","United States","Columbus","Ohio","43229","East","OFF-PA-10002377","Office Supplies","Paper",78.304,"Xerox","Xerox",3
134,"CA-2017-145583",2017-10-13 00:00:00.000,2017-10-19 00:00:00.000,"Standard Class","LC-16885","Lena Creighton","Consumer","United States","Roseville","California","95661","West","OFF-PA-10001804","Office Supplies","Paper",20.04,"Xerox","Xerox",6
135,"CA-2017-145583",2017-10-13 00:00:00.000,2017-10-19 00:00:00.000,"Standard Class","LC-16885","Lena Creighton","Consumer","United States","Roseville","California","95661","West","OFF-PA-10001736","Office Supplies","Paper",35.44,"Xerox","Xerox",6
144,"CA-2018-106180",2018-09-18 00:00:00.000,2018-09-23 00:00:00.000,"Standard Class","SH-19975","Sally Hughsby","Corporate","United States","San Francisco","California","94122","West","OFF-PA-10004327","Office Supplies","Paper",143.7,"Xerox","Xerox",5
155,"CA-2016-124919",2016-05-31 00:00:00.000,2016-06-02 00:00:00.000,"First Class","SP-20650","Stephanie Phelps","Corporate","United States","San Jose","California","95123","West","OFF-PA-10002254","Office Supplies","Paper",105.52,"Xerox","Xerox",2
161,"CA-2017-162733",2017-05-11 00:00:00.000,2017-05-12 00:00:00.000,"First Class","TT-21070","Ted Trevino","Consumer","United States","Los Angeles","California","90045","West","OFF-PA-10002751","Office Supplies","Paper",5.98,"Xerox","Xerox",1
173,"CA-2015-118962",2015-08-05 00:00:00.000,2015-08-09 00:00:00.000,"Standard Class","CS-12130","Chad Sievert","Consumer","United States","Los Angeles","California","90004","West","OFF-PA-10001144","Office Supplies","Paper",110.96,"Xerox","Xerox",4
192,"CA-2016-102281",2016-10-12 00:00:00.000,2016-10-14 00:00:00.000,"First Class","MP-17470","Mark Packer","Home Office","United States","New York City","New York","10035","East","OFF-PA-10000061","Office Supplies","Paper",51.84,"Xerox","Xerox",2
238,"CA-2017-157749",2017-06-04 00:00:00.000,2017-06-09 00:00:00.000,"Second Class","KL-16645","Ken Lonsdale","Consumer","United States","Chicago","Illinois","60610","Central","OFF-PA-10003349","Office Supplies","Paper",25.92,"Xerox","Xerox",5
249,"CA-2015-131926",2015-06-01 00:00:00.000,2015-06-06 00:00:00.000,"Second Class","DW-13480","Dianna Wilson","Home Office","United States","Lakeville","Minnesota","55044","Central","OFF-PA-10000061","Office Supplies","Paper",25.92,"Xerox","Xerox",5
286,"CA-2016-130883",2016-09-26 00:00:00.000,2016-10-02 00:00:00.000,"Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Portland","Oregon","97206","West","OFF-PA-10004100","Office Supplies","Paper",31.104,"Xerox","Xerox",6
299,"CA-2017-142545",2017-10-28 00:00:00.000,2017-11-03 00:00:00.000,"Standard Class","JD-15895","Jonathan Doherty","Corporate","United States","Belleville","New Jersey","7109","East","OFF-PA-10002105","Office Supplies","Paper",32.4,"Xerox","Xerox",6
301,"CA-2017-142545",2017-10-28 00:00:00.000,2017-11-03 00:00:00.000,"Standard Class","JD-15895","Jonathan Doherty","Corporate","United States","Belleville","New Jersey","7109","East","OFF-PA-10004243","Office Supplies","Paper",56.91,"Xerox","Xerox",6
316,"CA-2015-167850",2015-08-09 00:00:00.000,2015-08-16 00:00:00.000,"Standard Class","AG-10525","Andy Gerbode","Corporate","United States","Saint Petersburg","Florida","33710","South","OFF-PA-10001937","Office Supplies","Paper",15.552,"Xerox","Xerox",7
351,"CA-2017-129714",2017-09-01 00:00:00.000,2017-09-03 00:00:00.000,"First Class","AB-10060","Adam Bellavance","Home Office","United States","New York City","New York","10009","East","OFF-PA-10001970","Office Supplies","Paper",24.56,"Xerox","Xerox",2
353,"CA-2017-129714",2017-09-01 00:00:00.000,2017-09-03 00:00:00.000,"First Class","AB-10060","Adam Bellavance","Home Office","United States","New York City","New York","10009","East","OFF-PA-10001970","Office Supplies","Paper",49.12,"Xerox","Xerox",2
371,"CA-2018-104745",2018-05-29 00:00:00.000,2018-06-04 00:00:00.000,"Standard Class","GT-14755","Guy Thornton","Consumer","United States","Harlingen","Texas","78550","Central","OFF-PA-10002036","Office Supplies","Paper",25.92,"Xerox","Xerox",6
377,"US-2017-134656",2017-09-28 00:00:00.000,2017-10-01 00:00:00.000,"First Class","MM-18280","Muhammed MacIntyre","Corporate","United States","Quincy","Illinois","62301","Central","OFF-PA-10003039","Office Supplies","Paper",99.136,"Xerox","Xerox",3
397,"CA-2018-165603",2018-10-17 00:00:00.000,2018-10-19 00:00:00.000,"Second Class","SS-20140","Saphhira Shifley","Corporate","United States","Warwick","Rhode Island","2886","East","OFF-PA-10002552","Office Supplies","Paper",12.96,"Xerox","Xerox",2
403,"CA-2015-113166",2015-12-24 00:00:00.000,2015-12-26 00:00:00.000,"First Class","LF-17185","Luke Foster","Consumer","United States","Miami","Florida","33180","South","OFF-PA-10001947","Office Supplies","Paper",9.568,"Xerox","Xerox",2
412,"CA-2018-117457",2018-12-08 00:00:00.000,2018-12-12 00:00:00.000,"Standard Class","KH-16510","Keith Herrera","Consumer","United States","San Francisco","California","94110","West","OFF-PA-10001970","Office Supplies","Paper",55.98,"Xerox","Xerox",4
415,"CA-2018-142636",2018-11-03 00:00:00.000,2018-11-07 00:00:00.000,"Standard Class","KC-16675","Kimberly Carter","Corporate","United States","Seattle","Washington","98105","West","OFF-PA-10000157","Office Supplies","Paper",139.86,"Xerox","Xerox",4
419,"CA-2018-154816",2018-11-06 00:00:00.000,2018-11-10 00:00:00.000,"Standard Class","VB-21745","Victoria Brennan","Corporate","United States","Richmond","Kentucky","40475","South","OFF-PA-10003845","Office Supplies","Paper",5.78,"Xerox","Xerox",4
438,"CA-2017-147375",2017-06-12 00:00:00.000,2017-06-14 00:00:00.000,"Second Class","PO-19180","Philisse Overcash","Home Office","United States","Chicago","Illinois","60623","Central","OFF-PA-10001970","Office Supplies","Paper",313.488,"Xerox","Xerox",2
439,"CA-2018-130043",2018-09-15 00:00:00.000,2018-09-19 00:00:00.000,"Standard Class","BB-11545","Brenda Bowman","Corporate","United States","Houston","Texas","77070","Central","OFF-PA-10002230","Office Supplies","Paper",31.872,"Xerox","Xerox",4
477,"CA-2015-144666",2015-11-09 00:00:00.000,2015-11-11 00:00:00.000,"Second Class","JP-15520","Jeremy Pistek","Consumer","United States","San Francisco","California","94110","West","OFF-PA-10003465","Office Supplies","Paper",94.85,"Xerox","Xerox",2
548,"CA-2018-162929",2018-11-19 00:00:00.000,2018-11-22 00:00:00.000,"First Class","AS-10135","Adrian Shami","Home Office","United States","New York City","New York","10035","East","OFF-PA-10002986","Office Supplies","Paper",13.36,"Xerox","Xerox",3
559,"CA-2017-113243",2017-06-10 00:00:00.000,2017-06-15 00:00:00.000,"Standard Class","OT-18730","Olvera Toch","Consumer","United States","Los Angeles","California","90045","West","OFF-PA-10003441","Office Supplies","Paper",32.4,"Xerox","Xerox",5
569,"CA-2018-156951",2018-10-01 00:00:00.000,2018-10-08 00:00:00.000,"Standard Class","EB-13840","Ellis Ballard","Corporate","United States","Seattle","Washington","98105","West","OFF-PA-10004451","Office Supplies","Paper",19.44,"Xerox","Xerox",7
590,"US-2017-156986",2017-03-20 00:00:00.000,2017-03-24 00:00:00.000,"Standard Class","ZC-21910","Zuschuss Carroll","Consumer","United States","Salem","Oregon","97301","West","OFF-PA-10002005","Office Supplies","Paper",20.736,"Xerox","Xerox",4
